,age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_change,hours_per_week,native_country,income
0,50.0,5,13.0,2.0,3,0.0,4.0,1.0,0.0,13.0,1.0,0
1,38.0,3,9.0,0.0,5,1.0,4.0,1.0,0.0,40.0,1.0,0
2,53.0,3,7.0,2.0,5,0.0,2.0,1.0,0.0,40.0,1.0,0
3,28.0,3,13.0,2.0,9,5.0,2.0,0.0,0.0,40.0,0.0,0
4,37.0,3,14.0,2.0,3,5.0,4.0,0.0,0.0,40.0,1.0,0
5,49.0,3,5.0,3.0,7,1.0,2.0,0.0,0.0,16.0,0.0,0
6,52.0,5,9.0,2.0,3,0.0,4.0,1.0,0.0,45.0,1.0,1
7,31.0,3,14.0,4.0,9,1.0,4.0,0.0,14084.0,50.0,1.0,1
8,42.0,3,13.0,2.0,3,0.0,4.0,1.0,5178.0,40.0,1.0,1
9,37.0,3,10.0,2.0,3,0.0,2.0,1.0,0.0,80.0,1.0,1
10,30.0,6,13.0,2.0,9,0.0,1.0,1.0,0.0,40.0,0.0,1
11,23.0,3,13.0,4.0,0,3.0,4.0,0.0,0.0,30.0,1.0,0
12,32.0,3,12.0,4.0,11,1.0,2.0,1.0,0.0,50.0,1.0,0
13,40.0,3,11.0,2.0,2,0.0,1.0,1.0,0.0,40.0,0.0,1
14,34.0,3,4.0,2.0,13,0.0,0.0,1.0,0.0,45.0,0.0,0
15,25.0,5,9.0,4.0,4,3.0,4.0,1.0,0.0,35.0,1.0,0
16,32.0,3,9.0,4.0,6,4.0,4.0,1.0,0.0,40.0,1.0,0
17,38.0,3,7.0,2.0,11,0.0,4.0,1.0,0.0,50.0,1.0,0
18,43.0,5,14.0,0.0,3,4.0,4.0,0.0,0.0,45.0,1.0,1
19,40.0,3,16.0,2.0,9,0.0,4.0,1.0,0.0,60.0,1.0,1
20,54.0,3,9.0,5.0,7,4.0,2.0,0.0,0.0,20.0,1.0,0
21,35.0,0,5.0,2.0,4,0.0,2.0,1.0,0.0,40.0,1.0,0
22,43.0,3,7.0,2.0,13,0.0,4.0,1.0,-2042.0,40.0,1.0,0
23,59.0,3,9.0,0.0,12,4.0,4.0,0.0,0.0,40.0,1.0,0
24,56.0,1,13.0,2.0,12,0.0,4.0,1.0,0.0,40.0,1.0,1
25,19.0,3,9.0,4.0,2,3.0,4.0,1.0,0.0,40.0,1.0,0
26,54.0,3,10.0,2.0,6,0.0,1.0,1.0,0.0,60.0,0.0,1
27,39.0,3,9.0,0.0,3,1.0,4.0,1.0,0.0,80.0,1.0,0
28,49.0,3,9.0,2.0,2,0.0,4.0,1.0,0.0,40.0,1.0,0
29,23.0,1,12.0,4.0,10,1.0,4.0,1.0,0.0,52.0,1.0,0
30,20.0,3,10.0,4.0,11,3.0,2.0,1.0,0.0,44.0,1.0,0
31,45.0,3,13.0,0.0,3,3.0,4.0,1.0,-1408.0,40.0,1.0,0
32,30.0,0,10.0,2.0,0,3.0,4.0,1.0,0.0,40.0,1.0,0
33,22.0,6,10.0,2.0,7,0.0,2.0,1.0,0.0,15.0,1.0,0
34,48.0,3,7.0,4.0,6,4.0,4.0,1.0,0.0,40.0,0.0,0
35,21.0,3,10.0,4.0,6,3.0,4.0,1.0,0.0,40.0,1.0,0
36,19.0,3,9.0,1.0,0,5.0,4.0,0.0,0.0,25.0,1.0,0
37,31.0,3,10.0,2.0,11,0.0,4.0,1.0,0.0,38.0,0.0,1
