2023-02-21 15:39:55,240 INFO    MainThread:19432 [wandb_setup.py:_flush():68] Configure stats pid to 19432
2023-02-21 15:39:55,241 INFO    MainThread:19432 [wandb_setup.py:_flush():68] Loading settings from /home/andrea/.config/wandb/settings
2023-02-21 15:39:55,241 INFO    MainThread:19432 [wandb_setup.py:_flush():68] Loading settings from /home/andrea/PycharmProjects/data_exfiltration_tabular/wandb/settings
2023-02-21 15:39:55,241 INFO    MainThread:19432 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-21 15:39:55,241 INFO    MainThread:19432 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'PycharmProjects/data_exfiltration_tabular/train.py', 'program': '/home/andrea/PycharmProjects/data_exfiltration_tabular/train.py'}
2023-02-21 15:39:55,241 INFO    MainThread:19432 [wandb_init.py:_log_setup():492] Logging user logs to /home/andrea/PycharmProjects/data_exfiltration_tabular/wandb/run-20230221_153955-etg6eojr/logs/debug.log
2023-02-21 15:39:55,241 INFO    MainThread:19432 [wandb_init.py:_log_setup():493] Logging internal logs to /home/andrea/PycharmProjects/data_exfiltration_tabular/wandb/run-20230221_153955-etg6eojr/logs/debug-internal.log
2023-02-21 15:39:55,241 INFO    MainThread:19432 [wandb_init.py:init():532] calling init triggers
2023-02-21 15:39:55,241 INFO    MainThread:19432 [wandb_init.py:init():539] wandb.init called with sweep_config: {}
config: {}
2023-02-21 15:39:55,241 INFO    MainThread:19432 [wandb_init.py:init():588] starting backend
2023-02-21 15:39:55,241 INFO    MainThread:19432 [wandb_init.py:init():592] setting up manager
2023-02-21 15:39:55,248 INFO    MainThread:19432 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-21 15:39:55,252 INFO    MainThread:19432 [wandb_init.py:init():599] backend started and connected
2023-02-21 15:39:55,257 INFO    MainThread:19432 [wandb_init.py:init():687] updated telemetry
2023-02-21 15:39:55,274 INFO    MainThread:19432 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-21 15:39:56,030 INFO    MainThread:19432 [wandb_run.py:_on_init():2134] communicating current version
2023-02-21 15:39:56,366 INFO    MainThread:19432 [wandb_run.py:_on_init():2143] got version response 
2023-02-21 15:39:56,366 INFO    MainThread:19432 [wandb_init.py:init():775] starting run threads in backend
2023-02-21 15:39:56,499 INFO    MainThread:19432 [wandb_run.py:_console_start():2114] atexit reg
2023-02-21 15:39:56,499 INFO    MainThread:19432 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-21 15:39:56,500 INFO    MainThread:19432 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-21 15:39:56,500 INFO    MainThread:19432 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-21 15:39:56,501 INFO    MainThread:19432 [wandb_init.py:init():817] run started, returning control to user process
